# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	9936	10259	+							Q8725_RS00055	324		old_locus_tag=Q8725_00055
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	9936	10259	+	WP_004126838.1	WP_004126838.1		DNA-binding transcriptional regulator			Q8725_RS00055	324	107	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	10342	10794	-							Q8725_RS00060	453		old_locus_tag=Q8725_00060
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	10342	10794	-	WP_004855624.1	WP_004855624.1		DUF1198 domain-containing protein			Q8725_RS00060	453	150	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	10972	12363	-					uhpT		Q8725_RS00065	1392		old_locus_tag=Q8725_00065
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	10972	12363	-	WP_004107098.1	WP_004107098.1		hexose-6-phosphate:phosphate antiporter	uhpT		Q8725_RS00065	1392	463	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	12509	13828	-							Q8725_RS00070	1320		old_locus_tag=Q8725_00070
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	12509	13828	-	WP_004855628.1	WP_004855628.1		MFS transporter			Q8725_RS00070	1320	439	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	13838	15319	-					uhpB		Q8725_RS00075	1482		old_locus_tag=Q8725_00075
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	13838	15319	-	WP_305879054.1	WP_305879054.1		signal transduction histidine-protein kinase/phosphatase UhpB	uhpB		Q8725_RS00075	1482	493	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	15337	15930	-					uhpA		Q8725_RS00080	594		old_locus_tag=Q8725_00080
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	15337	15930	-	WP_004107112.1	WP_004107112.1		transcriptional regulator UhpA	uhpA		Q8725_RS00080	594	197	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	16113	16403	-					ilvN		Q8725_RS00085	291		old_locus_tag=Q8725_00085
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	16113	16403	-	WP_004855635.1	WP_004855635.1		acetolactate synthase small subunit	ilvN		Q8725_RS00085	291	96	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	16407	18095	-					ilvB		Q8725_RS00090	1689		old_locus_tag=Q8725_00090
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	16407	18095	-	WP_197663813.1	WP_197663813.1		acetolactate synthase large subunit	ilvB		Q8725_RS00090	1689	562	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	18198	18293	-					ivbL		Q8725_RS00095	96		old_locus_tag=Q8725_00095
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	18198	18293	-	WP_004855642.1	WP_004855642.1		ilvB operon leader peptide IvbL	ivbL		Q8725_RS00095	96	31	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	18875	18964	+					tisB		Q8725_RS00100	90		old_locus_tag=Q8725_00100
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	18875	18964	+	WP_004107126.1	WP_004107126.1		type I toxin-antitoxin system toxin TisB	tisB		Q8725_RS00100	90	29	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	19036	19482	+							Q8725_RS00105	447		old_locus_tag=Q8725_00105
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	19036	19482	+	WP_004855646.1	WP_004855646.1		GNAT family N-acetyltransferase			Q8725_RS00105	447	148	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	19553	20386	+							Q8725_RS00110	834		old_locus_tag=Q8725_00110
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	19553	20386	+	WP_004855648.1	WP_004855648.1		DMT family transporter			Q8725_RS00110	834	277	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	20564	21748	+					emrD		Q8725_RS00115	1185		old_locus_tag=Q8725_00115
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	20564	21748	+	WP_182409852.1	WP_182409852.1		multidrug efflux MFS transporter EmrD	emrD		Q8725_RS00115	1185	394	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	21961	22890	-					dsdC		Q8725_RS00120	930		old_locus_tag=Q8725_00120
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	21961	22890	-	WP_109213770.1	WP_109213770.1		DNA-binding transcriptional regulator DsdC	dsdC		Q8725_RS00120	930	309	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	23114	24451	+					dsdX		Q8725_RS00125	1338		old_locus_tag=Q8725_00125
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	23114	24451	+	WP_004116631.1	WP_004116631.1		D-serine transporter DsdX	dsdX		Q8725_RS00125	1338	445	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	24469	25797	+					dsdA		Q8725_RS00130	1329		old_locus_tag=Q8725_00130
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	24469	25797	+	WP_139530990.1	WP_139530990.1		D-serine ammonia-lyase	dsdA		Q8725_RS00130	1329	442	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	25851	26381	-							Q8725_RS00135	531		old_locus_tag=Q8725_00135
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	25851	26381	-	WP_004855659.1	WP_004855659.1		radical SAM protein			Q8725_RS00135	531	176	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	26378	26740	-							Q8725_RS00140	363		old_locus_tag=Q8725_00140
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	26378	26740	-	WP_009654319.1	WP_009654319.1		DUF202 domain-containing protein			Q8725_RS00140	363	120	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	26730	27077	-							Q8725_RS00145	348		old_locus_tag=Q8725_00145
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	26730	27077	-	WP_004855665.1	WP_004855665.1		YidH family protein			Q8725_RS00145	348	115	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	27258	28580	-							Q8725_RS00150	1323		old_locus_tag=Q8725_00150
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	27258	28580	-	WP_004855669.1	WP_004855669.1		6-phospho-alpha-glucosidase			Q8725_RS00150	1323	440	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	28577	30199	-							Q8725_RS00155	1623		old_locus_tag=Q8725_00155
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	28577	30199	-	WP_305878722.1	WP_305878722.1		alpha-glucoside-specific PTS transporter subunit IIBC			Q8725_RS00155	1623	540	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	30541	31287	+							Q8725_RS00160	747		old_locus_tag=Q8725_00160
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	30541	31287	+	WP_014227323.1	WP_014227323.1		GntR family transcriptional regulator			Q8725_RS00160	747	248	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	31255	32916	-							Q8725_RS00165	1662		old_locus_tag=Q8725_00165
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	31255	32916	-	WP_004855675.1	WP_004855675.1		putative transporter			Q8725_RS00165	1662	553	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	33113	33541	-					ibpB		Q8725_RS00170	429		old_locus_tag=Q8725_00170
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	33113	33541	-	WP_004126915.1	WP_004126915.1		small heat shock chaperone IbpB	ibpB		Q8725_RS00170	429	142	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	33659	34072	-					ibpA		Q8725_RS00175	414		old_locus_tag=Q8725_00175
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	33659	34072	-	WP_004126917.1	WP_004126917.1		small heat shock chaperone IbpA	ibpA		Q8725_RS00175	414	137	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	34444	34773	+							Q8725_RS00180	330		old_locus_tag=Q8725_00180
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	34444	34773	+	WP_161506360.1	WP_161506360.1		YceK/YidQ family lipoprotein			Q8725_RS00180	330	109	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	34775	36001	-							Q8725_RS00185	1227		old_locus_tag=Q8725_00185
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	34775	36001	-	WP_128349885.1	WP_128349885.1		DUF3748 domain-containing protein			Q8725_RS00185	1227	408	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	36053	37390	-							Q8725_RS00190	1338		old_locus_tag=Q8725_00190
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	36053	37390	-	WP_071846050.1	WP_071846050.1		MFS transporter			Q8725_RS00190	1338	445	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	37566	38714	-					dgoD		Q8725_RS00195	1149		old_locus_tag=Q8725_00195
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	37566	38714	-	WP_004855688.1	WP_004855688.1		galactonate dehydratase	dgoD		Q8725_RS00195	1149	382	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	38711	39328	-							Q8725_RS00200	618		old_locus_tag=Q8725_00200
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	38711	39328	-	WP_004855690.1	WP_004855690.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			Q8725_RS00200	618	205	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	39312	40187	-							Q8725_RS00205	876		old_locus_tag=Q8725_00205
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	39312	40187	-	WP_197663808.1	WP_197663808.1		2-dehydro-3-deoxygalactonokinase			Q8725_RS00205	876	291	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	40184	40873	-					dgoR		Q8725_RS00210	690		old_locus_tag=Q8725_00210
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	40184	40873	-	WP_004126932.1	WP_004126932.1		D-galactonate utilization transcriptional regulator DgoR	dgoR		Q8725_RS00210	690	229	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	41115	41927	-					yidA		Q8725_RS00215	813		old_locus_tag=Q8725_00215
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	41115	41927	-	WP_004855697.1	WP_004855697.1		sugar-phosphatase	yidA		Q8725_RS00215	813	270	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	42043	43068	-							Q8725_RS00220	1026		old_locus_tag=Q8725_00220
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	42043	43068	-	WP_189090668.1	WP_189090668.1		NAD(P)-dependent alcohol dehydrogenase			Q8725_RS00220	1026	341	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	43179	44114	+							Q8725_RS00225	936		old_locus_tag=Q8725_00225
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	43179	44114	+	WP_197663806.1	WP_197663806.1		LysR family transcriptional regulator			Q8725_RS00225	936	311	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	44147	46561	-					gyrB		Q8725_RS00230	2415		old_locus_tag=Q8725_00230
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	44147	46561	-	WP_004855703.1	WP_004855703.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		Q8725_RS00230	2415	804	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	46590	47663	-					recF		Q8725_RS00235	1074		old_locus_tag=Q8725_00235
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	46590	47663	-	WP_004855705.1	WP_004855705.1		DNA replication/repair protein RecF	recF		Q8725_RS00235	1074	357	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	47802	48902	-					dnaN		Q8725_RS00240	1101		old_locus_tag=Q8725_00240
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	47802	48902	-	WP_004107206.1	WP_004107206.1		DNA polymerase III subunit beta	dnaN		Q8725_RS00240	1101	366	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	48907	50307	-					dnaA		Q8725_RS00245	1401		old_locus_tag=Q8725_00245
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	48907	50307	-	WP_004855706.1	WP_004855706.1		chromosomal replication initiator protein DnaA	dnaA		Q8725_RS00245	1401	466	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	50929	51069	+					rpmH		Q8725_RS00250	141		old_locus_tag=Q8725_00250
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	50929	51069	+	WP_004871828.1	WP_004871828.1		50S ribosomal protein L34	rpmH		Q8725_RS00250	141	46	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51085	51444	+					rnpA		Q8725_RS00255	360		old_locus_tag=Q8725_00255
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51085	51444	+	WP_004871829.1	WP_004871829.1		ribonuclease P protein component	rnpA		Q8725_RS00255	360	119	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51408	51665	+					yidD		Q8725_RS00260	258		old_locus_tag=Q8725_00260
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51408	51665	+	WP_004871831.1	WP_004871831.1		membrane protein insertion efficiency factor YidD	yidD		Q8725_RS00260	258	85	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51668	53314	+					yidC		Q8725_RS00265	1647		old_locus_tag=Q8725_00265
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	51668	53314	+	WP_004855708.1	WP_004855708.1		membrane protein insertase YidC	yidC		Q8725_RS00265	1647	548	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	53509	54873	+					mnmE		Q8725_RS00270	1365		old_locus_tag=Q8725_00270
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	53509	54873	+	WP_004855709.1	WP_004855709.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		Q8725_RS00270	1365	454	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	55006	55413	+							Q8725_RS00275	408		old_locus_tag=Q8725_00275
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	55006	55413	+	WP_004855722.1	WP_004855722.1		GNAT family N-acetyltransferase			Q8725_RS00275	408	135	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	55517	56407	-							Q8725_RS00280	891		old_locus_tag=Q8725_00280
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	55517	56407	-	WP_004855724.1	WP_004855724.1		dihydrodipicolinate synthase family protein			Q8725_RS00280	891	296	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	56555	57436	-							Q8725_RS00285	882		old_locus_tag=Q8725_00285
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	56555	57436	-	WP_004126967.1	WP_004126967.1		MurR/RpiR family transcriptional regulator			Q8725_RS00285	882	293	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	57763	59253	+							Q8725_RS00290	1491		old_locus_tag=Q8725_00290
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	57763	59253	+	WP_197663804.1	WP_197663804.1		MFS transporter			Q8725_RS00290	1491	496	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	59304	59993	+							Q8725_RS00295	690		old_locus_tag=Q8725_00295
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	59304	59993	+	WP_004855726.1	WP_004855726.1		N-acetylmannosamine-6-phosphate 2-epimerase			Q8725_RS00295	690	229	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	59990	60865	+							Q8725_RS00300	876		old_locus_tag=Q8725_00300
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	59990	60865	+	WP_004855727.1	WP_004855727.1		N-acetylmannosamine kinase			Q8725_RS00300	876	291	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	60862	61326	+					nanQ		Q8725_RS00305	465		old_locus_tag=Q8725_00305
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	60862	61326	+	WP_004855728.1	WP_004855728.1		N-acetylneuraminate anomerase	nanQ		Q8725_RS00305	465	154	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	61497	62678	+							Q8725_RS00310	1182		old_locus_tag=Q8725_00310
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	61497	62678	+	WP_049076178.1	WP_049076178.1		MFS transporter			Q8725_RS00310	1182	393	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	62647	63606	+					yidZ		Q8725_RS00315	960		old_locus_tag=Q8725_00315
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	62647	63606	+	WP_004855731.1	WP_004855731.1		HTH-type transcriptional regulator YidZ	yidZ		Q8725_RS00315	960	319	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	63753	64490	+							Q8725_RS00320	738		old_locus_tag=Q8725_00320
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	63753	64490	+	WP_049076176.1	WP_049076176.1		4'-phosphopantetheinyl transferase superfamily protein			Q8725_RS00320	738	245	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	64528	65094	+							Q8725_RS00325	567		old_locus_tag=Q8725_00325
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	64528	65094	+	WP_004855733.1	WP_004855733.1		NADPH-dependent FMN reductase			Q8725_RS00325	567	188	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	65143	66480	-					adeP		Q8725_RS00330	1338		old_locus_tag=Q8725_00330
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	65143	66480	-	WP_004855735.1	WP_004855735.1		adenine permease AdeP	adeP		Q8725_RS00330	1338	445	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	66648	67313	+					yieH		Q8725_RS00335	666		old_locus_tag=Q8725_00335
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	66648	67313	+	WP_305878724.1	WP_305878724.1		6-phosphogluconate phosphatase	yieH		Q8725_RS00335	666	221	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	67368	68090	-							Q8725_RS00340	723		old_locus_tag=Q8725_00340
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	67368	68090	-	WP_004855738.1	WP_004855738.1		glucosamine-6-phosphate deaminase			Q8725_RS00340	723	240	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	68145	69311	-							Q8725_RS00345	1167		old_locus_tag=Q8725_00345
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	68145	69311	-	WP_305878725.1	WP_305878725.1		alpha/beta hydrolase-fold protein			Q8725_RS00345	1167	388	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	69353	70999	-							Q8725_RS00350	1647		old_locus_tag=Q8725_00350
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	69353	70999	-	WP_004855743.1	WP_004855743.1		carbohydrate porin			Q8725_RS00350	1647	548	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	71584	72309	-					phoU		Q8725_RS00355	726		old_locus_tag=Q8725_00355
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	71584	72309	-	WP_004107251.1	WP_004107251.1		phosphate signaling complex protein PhoU	phoU		Q8725_RS00355	726	241	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	72359	73132	-					pstB		Q8725_RS00360	774		old_locus_tag=Q8725_00360
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	72359	73132	-	WP_004855746.1	WP_004855746.1		phosphate ABC transporter ATP-binding protein PstB	pstB		Q8725_RS00360	774	257	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	73180	74070	-					pstA		Q8725_RS00365	891		old_locus_tag=Q8725_00365
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	73180	74070	-	WP_004855748.1	WP_004855748.1		phosphate ABC transporter permease PstA	pstA		Q8725_RS00365	891	296	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	74070	75029	-					pstC		Q8725_RS00370	960		old_locus_tag=Q8725_00370
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	74070	75029	-	WP_004107261.1	WP_004107261.1		phosphate ABC transporter permease PstC	pstC		Q8725_RS00370	960	319	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	75222	76262	-					pstS		Q8725_RS00375	1041		old_locus_tag=Q8725_00375
