# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	5125	6126	+							BHR50_RS00030	1002		pseudo;old_locus_tag=BHR50_00030
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	5125	6126	+				asparaginase			BHR50_RS00030	1002		pseudo
gene	tRNA	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6236	6322	+							BHR50_RS00035	87		old_locus_tag=BHR50_00040
tRNA		GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6236	6322	+				tRNA-Tyr			BHR50_RS00035	87		anticodon=GTA
gene	tRNA	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6511	6584	+							BHR50_RS00040	74		old_locus_tag=BHR50_00045
tRNA		GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6511	6584	+				tRNA-Gly			BHR50_RS00040	74		anticodon=TCC
gene	tRNA	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6591	6665	+							BHR50_RS00045	75		old_locus_tag=BHR50_00050
tRNA		GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6591	6665	+				tRNA-Thr			BHR50_RS00045	75		anticodon=GGT
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6722	7912	+					tuf		BHR50_RS00050	1191		old_locus_tag=BHR50_00055
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	6722	7912	+	WP_003806883.1	WP_003806883.1		elongation factor Tu	tuf		BHR50_RS00050	1191	396	
gene	tRNA	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8023	8098	+							BHR50_RS00055	76		old_locus_tag=BHR50_00060
tRNA		GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8023	8098	+				tRNA-Trp			BHR50_RS00055	76		anticodon=CCA
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8151	8531	+					secE		BHR50_RS00060	381		old_locus_tag=BHR50_00065
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8151	8531	+	WP_003806884.1	WP_003806884.1		preprotein translocase subunit SecE	secE		BHR50_RS00060	381	126	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8541	9074	+					nusG		BHR50_RS00065	534		old_locus_tag=BHR50_00070
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	8541	9074	+	WP_003806885.1	WP_003806885.1		transcription termination/antitermination protein NusG	nusG		BHR50_RS00065	534	177	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	9138	9569	+					rplK		BHR50_RS00070	432		old_locus_tag=BHR50_00075
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	9138	9569	+	WP_010929572.1	WP_010929572.1		50S ribosomal protein L11	rplK		BHR50_RS00070	432	143	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	9572	10270	+					rplA		BHR50_RS00075	699		old_locus_tag=BHR50_00080
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	9572	10270	+	WP_003806887.1	WP_003806887.1		50S ribosomal protein L1	rplA		BHR50_RS00075	699	232	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	10513	11037	+					rplJ		BHR50_RS00080	525		old_locus_tag=BHR50_00085
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	10513	11037	+	WP_003806888.1	WP_003806888.1		50S ribosomal protein L10	rplJ		BHR50_RS00080	525	174	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	11119	11502	+					rplL		BHR50_RS00085	384		old_locus_tag=BHR50_00090
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	11119	11502	+	WP_003806889.1	WP_003806889.1		50S ribosomal protein L7/L12	rplL		BHR50_RS00085	384	127	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	11662	15774	+					rpoB		BHR50_RS00090	4113		old_locus_tag=BHR50_00095
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	11662	15774	+	WP_010929573.1	WP_010929573.1		DNA-directed RNA polymerase subunit beta	rpoB		BHR50_RS00090	4113	1370	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	15774	20018	+					rpoC		BHR50_RS00095	4245		old_locus_tag=BHR50_00100
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	15774	20018	+	WP_003818292.1	WP_003818292.1		DNA-directed RNA polymerase subunit beta'	rpoC		BHR50_RS00095	4245	1414	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	20127	20531	-							BHR50_RS00100	405		old_locus_tag=BHR50_00105
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	20127	20531	-	WP_010929574.1	WP_010929574.1		TssQ family T6SS-associated lipoprotein			BHR50_RS00100	405	134	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	20772	21947	+							BHR50_RS00105	1176		old_locus_tag=BHR50_00110
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	20772	21947	+	WP_010929575.1	WP_010929575.1		membrane protein			BHR50_RS00105	1176	391	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	22008	24351	-							BHR50_RS00110	2344		pseudo;old_locus_tag=BHR50_00115
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	22008	24351	-				CHASE2 domain-containing protein			BHR50_RS00110	2344		pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	24353	25459	-							BHR50_RS00115	1107		old_locus_tag=BHR50_00120
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	24353	25459	-	WP_010929576.1	WP_010929576.1		FecR domain-containing protein			BHR50_RS00115	1107	368	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	25477	26213	-							BHR50_RS00120	737		pseudo;old_locus_tag=BHR50_00125
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	25477	26213	-				response regulator transcription factor			BHR50_RS00120	737		pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	26471	27286	+							BHR50_RS00125	816		old_locus_tag=BHR50_00130
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	26471	27286	+	WP_003818297.1	WP_003818297.1		winged helix-turn-helix domain-containing protein			BHR50_RS00125	816	271	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	27283	28233	-							BHR50_RS00130	951		old_locus_tag=BHR50_00135
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	27283	28233	-	WP_010929577.1	WP_010929577.1		IS481-like element IS481 family transposase			BHR50_RS00130	951	316	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	28333	28650	-							BHR50_RS00135	318		partial;pseudo;old_locus_tag=BHR50_00140
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	28333	28650	-				CoA transferase			BHR50_RS00135	318		partial;pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	28675	29109	-							BHR50_RS00140	435		old_locus_tag=BHR50_00145
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	28675	29109	-	WP_010929578.1	WP_010929578.1		OB-fold domain-containing protein			BHR50_RS00140	435	144	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	29142	30359	-							BHR50_RS00145	1218		old_locus_tag=BHR50_00150
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	29142	30359	-	WP_019247164.1	WP_019247164.1		thiolase family protein			BHR50_RS00145	1218	405	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	30365	30862	-							BHR50_RS00150	498		old_locus_tag=BHR50_00155
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	30365	30862	-	WP_010929580.1	WP_010929580.1		MaoC/PaaZ C-terminal domain-containing protein			BHR50_RS00150	498	165	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	31070	32005	-							BHR50_RS00155	936		old_locus_tag=BHR50_00160
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	31070	32005	-	WP_019247165.1	WP_019247165.1		LysR family transcriptional regulator			BHR50_RS00155	936	311	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	32215	33006	+							BHR50_RS00160	792		old_locus_tag=BHR50_00165
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	32215	33006	+	WP_010929582.1	WP_010929582.1		enoyl-CoA hydratase/isomerase family protein			BHR50_RS00160	792	263	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	33049	34470	+							BHR50_RS00165	1422		old_locus_tag=BHR50_00170
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	33049	34470	+	WP_010929583.1	WP_010929583.1		MmgE/PrpD family protein			BHR50_RS00165	1422	473	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	34626	35575	+							BHR50_RS00170	950		pseudo;old_locus_tag=BHR50_00175
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	34626	35575	+				IS481-like element IS481 family transposase			BHR50_RS00170	950		pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	35572	36762	-							BHR50_RS00175	1191		old_locus_tag=BHR50_00180
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	35572	36762	-	WP_003814398.1	WP_003814398.1		MFS transporter			BHR50_RS00175	1191	396	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	37012	37923	+					glyQ		BHR50_RS00180	912		old_locus_tag=BHR50_00185
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	37012	37923	+	WP_010929585.1	WP_010929585.1		glycine--tRNA ligase subunit alpha	glyQ		BHR50_RS00180	912	303	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	37925	40063	+					glyS		BHR50_RS00185	2139		old_locus_tag=BHR50_00190
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	37925	40063	+	WP_010929586.1	WP_010929586.1		glycine--tRNA ligase subunit beta	glyS		BHR50_RS00185	2139	712	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	40060	40599	+					gmhB		BHR50_RS00190	540		old_locus_tag=BHR50_00195
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	40060	40599	+	WP_003814404.1	WP_003814404.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		BHR50_RS00190	540	179	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	40603	41331	+							BHR50_RS00195	729		old_locus_tag=BHR50_00200
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	40603	41331	+	WP_003814405.1	WP_003814405.1		lysophospholipid acyltransferase family protein			BHR50_RS00195	729	242	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	41318	42211	+							BHR50_RS00200	894		old_locus_tag=BHR50_00205
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	41318	42211	+	WP_010929587.1	WP_010929587.1		SprT family zinc-dependent metalloprotease			BHR50_RS00200	894	297	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	42282	42677	+					gloA		BHR50_RS00205	396		old_locus_tag=BHR50_00210
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	42282	42677	+	WP_019247766.1	WP_019247766.1		lactoylglutathione lyase	gloA		BHR50_RS00205	396	131	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	42687	43217	+					def		BHR50_RS00210	531		old_locus_tag=BHR50_00215
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	42687	43217	+	WP_003814412.1	WP_003814412.1		peptide deformylase	def		BHR50_RS00210	531	176	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	43346	43645	-							BHR50_RS19900	300		old_locus_tag=BHR50_00220
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	43346	43645	-	WP_023852754.1	WP_023852754.1		acyl-CoA dehydrogenase domain-containing protein			BHR50_RS19900	300	99	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	43663	44612	+							BHR50_RS00220	950		pseudo;old_locus_tag=BHR50_00225
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	43663	44612	+				IS481-like element IS481 family transposase			BHR50_RS00220	950		pseudo
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	44609	45086	-							BHR50_RS00225	478		partial;pseudo;old_locus_tag=BHR50_00230
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	44609	45086	-				alpha/beta fold hydrolase			BHR50_RS00225	478		partial;pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	45199	45747	+							BHR50_RS00230	549		old_locus_tag=BHR50_00235
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	45199	45747	+	WP_010929589.1	WP_010929589.1		hypothetical protein			BHR50_RS00230	549	182	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	45719	45955	-							BHR50_RS00235	237		old_locus_tag=BHR50_00240
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	45719	45955	-	WP_003815265.1	WP_003815265.1		helix-turn-helix domain-containing protein			BHR50_RS00235	237	78	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	46083	46976	+							BHR50_RS00240	894		old_locus_tag=BHR50_00245
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	46083	46976	+	WP_003815255.1	WP_003815255.1		AEC family transporter			BHR50_RS00240	894	297	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	46980	47982	-							BHR50_RS00245	1003		pseudo;old_locus_tag=BHR50_00250
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	46980	47982	-				Ldh family oxidoreductase			BHR50_RS00245	1003		pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	48146	49393	+							BHR50_RS00250	1248		old_locus_tag=BHR50_00255
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	48146	49393	+	WP_010929590.1	WP_010929590.1		homoserine O-acetyltransferase			BHR50_RS00250	1248	415	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	49390	50004	+					metW		BHR50_RS00255	615		old_locus_tag=BHR50_00260
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	49390	50004	+	WP_003817748.1	WP_003817748.1		methionine biosynthesis protein MetW	metW		BHR50_RS00255	615	204	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	50140	51090	+							BHR50_RS00265	951		old_locus_tag=BHR50_00265
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	50140	51090	+	WP_010929591.1	WP_010929591.1		IS481-like element IS481 family transposase			BHR50_RS00265	951	316	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	51133	52389	+							BHR50_RS00270	1257		old_locus_tag=BHR50_00270
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	51133	52389	+	WP_029443813.1	WP_029443813.1		muropeptide transporter			BHR50_RS00270	1257	418	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	52501	53563	+							BHR50_RS00275	1063		pseudo;old_locus_tag=BHR50_00275
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	52501	53563	+				porin			BHR50_RS00275	1063		pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	53621	54355	-							BHR50_RS00280	735		old_locus_tag=BHR50_00280
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	53621	54355	-	WP_010929592.1	WP_010929592.1		amino acid racemase			BHR50_RS00280	735	244	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	54361	54951	-							BHR50_RS00285	591		old_locus_tag=BHR50_00285
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	54361	54951	-	WP_019247224.1	WP_019247224.1		amino acid ABC transporter ATP-binding protein			BHR50_RS00285	591	196	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	54976	55665	-							BHR50_RS00290	690		old_locus_tag=BHR50_00290
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	54976	55665	-	WP_003817737.1	WP_003817737.1		ABC transporter permease subunit			BHR50_RS00290	690	229	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	55662	56423	-							BHR50_RS00295	762		old_locus_tag=BHR50_00295
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	55662	56423	-	WP_023852650.1	WP_023852650.1		amino acid ABC transporter permease			BHR50_RS00295	762	253	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	56503	57402	-							BHR50_RS00300	900		old_locus_tag=BHR50_00300
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	56503	57402	-	WP_010929594.1	WP_010929594.1		amino acid ABC transporter substrate-binding protein			BHR50_RS00300	900	299	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	57496	58446	-							BHR50_RS00305	951		old_locus_tag=BHR50_00305
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	57496	58446	-	WP_005012808.1	WP_005012808.1		IS481-like element IS481 family transposase			BHR50_RS00305	951	316	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	58464	59063	+							BHR50_RS00310	600		old_locus_tag=BHR50_00310
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	58464	59063	+	WP_023853472.1	WP_023853472.1		LysR family transcriptional regulator substrate-binding protein			BHR50_RS00310	600	199	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	59247	60473	-							BHR50_RS00315	1227		old_locus_tag=BHR50_00315
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	59247	60473	-	WP_010929595.1	WP_010929595.1		HipA domain-containing protein			BHR50_RS00315	1227	408	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	60473	60892	-							BHR50_RS00320	420		old_locus_tag=BHR50_00320
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	60473	60892	-	WP_010929596.1	WP_010929596.1		helix-turn-helix domain-containing protein			BHR50_RS00320	420	139	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	61076	62017	-							BHR50_RS00325	942		old_locus_tag=BHR50_00325
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	61076	62017	-	WP_010929597.1	WP_010929597.1		hypothetical protein			BHR50_RS00325	942	313	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	62060	62318	+							BHR50_RS00330	259		partial;pseudo
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	62060	62318	+				transposase			BHR50_RS00330	259		partial;pseudo
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	62441	63415	-							BHR50_RS00335	975		old_locus_tag=BHR50_00330
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	62441	63415	-	WP_019248755.1	WP_019248755.1		tripartite tricarboxylate transporter substrate binding protein			BHR50_RS00335	975	324	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	63472	64053	-							BHR50_RS00340	582		old_locus_tag=BHR50_00335
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	63472	64053	-	WP_010929599.1	WP_010929599.1		DJ-1/PfpI family protein			BHR50_RS00340	582	193	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	64066	64383	-							BHR50_RS00345	318		old_locus_tag=BHR50_00340
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	64066	64383	-	WP_019248465.1	WP_019248465.1		Rieske 2Fe-2S domain-containing protein			BHR50_RS00345	318	105	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	64487	65545	-							BHR50_RS00350	1059		old_locus_tag=BHR50_00345
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	64487	65545	-	WP_029443770.1	WP_029443770.1		FAD-binding oxidoreductase			BHR50_RS00350	1059	352	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	65580	66851	-							BHR50_RS00355	1272		old_locus_tag=BHR50_00350
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	65580	66851	-	WP_019247832.1	WP_019247832.1		TRAP transporter large permease			BHR50_RS00355	1272	423	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	66882	67250	-							BHR50_RS20475	369		old_locus_tag=BHR50_00355
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	66882	67250	-	WP_235094350.1	WP_235094350.1		TRAP transporter small permease			BHR50_RS20475	369	122	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	67481	68662	-							BHR50_RS00365	1182		old_locus_tag=BHR50_00360
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	67481	68662	-	WP_010929603.1	WP_010929603.1		TRAP transporter substrate-binding protein			BHR50_RS00365	1182	393	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	68683	68952	-							BHR50_RS00370	270		old_locus_tag=BHR50_00365
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	68683	68952	-	WP_019247830.1	WP_019247830.1		aromatic-ring-hydroxylating dioxygenase subunit beta			BHR50_RS00370	270	89	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	69084	70034	+							BHR50_RS00375	951		old_locus_tag=BHR50_00370
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	69084	70034	+	WP_005012808.1	WP_005012808.1		IS481-like element IS481 family transposase			BHR50_RS00375	951	316	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	70128	70442	+							BHR50_RS00380	315		old_locus_tag=BHR50_00375
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	70128	70442	+	WP_003816713.1	WP_003816713.1		DUF1153 domain-containing protein			BHR50_RS00380	315	104	
gene	pseudogene	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	70448	71230	+							BHR50_RS00385	783		partial;pseudo;old_locus_tag=BHR50_00380
CDS	without_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	70448	71230	+				IS3 family transposase			BHR50_RS00385	783		partial;pseudo
gene	tRNA	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	71389	71473	-							BHR50_RS00390	85		old_locus_tag=BHR50_00385
tRNA		GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	71389	71473	-				tRNA-Leu			BHR50_RS00390	85		anticodon=CAA
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	71635	73542	+					htpG		BHR50_RS00395	1908		old_locus_tag=BHR50_00390
