Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	4523
GCF_001888925.1	ASM188892v1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	1943
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii	3726
GCF_000022965.1	ASM2296v1	Bifidobacterium animalis subsp. lactis DSM 10140	1622
GCF_000025985.1	ASM2598v1	Bacteroides fragilis NCTC 9343	4323
GCF_000010505.1	ASM1050v1	Porphyromonas gingivalis ATCC 33277	2097
GCF_000014445.1	ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	2098
GCF_016026635.1	ASM1602663v1	Staphylococcus pseudintermedius	2401
GCF_002950395.1	ASM295039v1	Shigella sonnei	5093
GCF_034298135.1	ASM3429813v1	Lactobacillus acidophilus	1917
GCF_036689615.1	ASM3668961v1	Pseudomonas chlororaphis subsp. chlororaphis	6206
GCF_006094395.1	ASM609439v1	Staphylococcus haemolyticus	2508
GCF_028891345.1	ASM2889134v1	Xylella fastidiosa	2366
GCF_001025175.1	ASM102517v1	Bifidobacterium breve DSM 20213 = JCM 1192	2015
GCF_014131795.1	ASM1413179v1	Clostridium butyricum	4338
GCF_014131755.1	ASM1413175v1	Bacteroides thetaiotaomicron	4890
GCF_006739385.1	ASM673938v1	Cutibacterium acnes subsp. acnes	2437
GCF_900636985.1	45889_C01	Klebsiella oxytoca	5475
GCF_900475555.1	44257_B01	Micrococcus luteus NCTC 2665	2341
GCF_019048105.1	ASM1904810v1	Providencia rettgeri	4322
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae	2111
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0	6303
GCF_900476005.1	51438_H01	Aeromonas caviae	4254
GCF_000253175.1	ASM25317v1	Yersinia enterocolitica subsp. palearctica Y11	4238
GCF_000829055.1	ASM82905v1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393	2878
GCF_000014425.1	ASM1442v1	Lactobacillus gasseri ATCC 33323 = JCM 1131	1883
GCF_001729805.1	ASM172980v1	Enterobacter roggenkampii	4649
GCF_003290385.1	ASM329038v1	Actinobacillus pleuropneumoniae	2219
GCF_000146165.2	ASM14616v2	Shewanella oneidensis MR-1	4612
GCF_001750725.1	ASM175072v1	Enterobacter ludwigii	4708
GCF_000183155.1	ASM18315v1	Riemerella anatipestifer ATCC 11845 = DSM 15868	2053
GCF_002023665.2	ASM202366v2	Elizabethkingia anophelis R26	3764
GCF_001457455.1	NCTC11397	Corynebacterium diphtheriae	2372
GCF_003641185.1	ASM364118v1	Lactiplantibacillus pentosus	3357
GCF_018223745.1	ASM1822374v1	Clostridium beijerinckii	5334
GCF_000091545.1	ASM9154v1	Thermus thermophilus HB8	2283
GCF_001642675.1	ASM164267v1	Bradyrhizobium diazoefficiens USDA 110	8577
GCF_003019295.1	ASM301929v1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	2067
GCF_022984195.1	ASM2298419v1	Synechococcus elongatus PCC 6301	2779
GCF_900474615.1	40295_D02	Mammaliicoccus sciuri	2796
GCF_900637475.1	51108_B01	Yersinia pseudotuberculosis	4094
GCF_000025685.1	ASM2568v1	Haloferax volcanii DS2	4070
GCF_000083545.1	ASM8354v1	Methylorubrum extorquens DM4	5829
GCF_000183385.1	ASM18338v1	Mycoplasmopsis bovis PG45	883
GCF_000007505.1	ASM750v1	Brucella suis 1330	3233
GCF_000007365.1	ASM736v1	Buchnera aphidicola str. Sg (Schizaphis graminum)	630
GCF_000012365.1	ASM1236v1	Burkholderia thailandensis E264	5916
GCF_004101845.1	ASM410184v1	Latilactobacillus curvatus JCM 1096 = DSM 20019	1989
GCF_024925465.1	ASM2492546v1	Ralstonia pseudosolanacearum	5117
GCF_000204255.1	ASM20425v1	Chlamydia psittaci 6BC	1035
GCF_004799605.1	ASM479960v1	Halobacterium salinarum	2592
GCF_000015865.1	ASM1586v1	Acetivibrio thermocellus ATCC 27405	3409
GCF_002706795.1	ASM270679v1	Brevibacillus laterosporus DSM 25	4977
GCF_900637025.1	46338_H01	Streptococcus oralis ATCC 35037	1868
GCF_034479305.1	ASM3447930v1	Shouchella clausii	4461
GCF_000236925.1	ASM23692v1	Staphylococcus argenteus	2692
GCF_001558415.2	ASM155841v2	Vibrio fluvialis	4500
GCF_002155265.1	ASM215526v1	Corynebacterium pseudotuberculosis	2123
GCF_900636475.1	42197_F01	Streptococcus anginosus	1931
GCF_000011905.1	ASM1190v1	Dehalococcoides mccartyi 195	1579
GCF_002813755.1	ASM281375v1	Enterococcus mundtii	3267
GCF_021216655.1	ASM2121665v1	Clavibacter michiganensis	3209
GCF_000007985.2	ASM798v2	Geobacter sulfurreducens PCA	3484
GCF_040739365.1	DSM6717	Staphylococcus capitis subsp. urealyticus	2450
GCF_009183365.2	ASM918336v2	Shewanella algae	4408
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii	4475
GCF_900660465.1	50648_A01-3	Mycoplasmoides pneumoniae	782
GCF_000007805.1	ASM780v1	Pseudomonas syringae pv. tomato str. DC3000	5933
GCF_900475505.1	42925_G01	Streptococcus sanguinis	2254
GCF_000010125.1	ASM1012v1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292	2545
GCF_000227465.1	ASM22746v1	Bacillus spizizenii TU-B-10	4304
GCF_000219215.1	ASM21921v1	Cupriavidus necator N-1	7966
GCF_004063735.1	ASM406373v1	Paracoccus denitrificans	5232
GCF_020546685.1	ASM2054668v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	3202
GCF_000092025.1	ASM9202v1	Agrobacterium fabrum str. C58	5332
GCF_000012825.1	ASM1282v1	Phocaeicola vulgatus ATCC 8482	4201
GCF_000010425.1	ASM1042v1	Bifidobacterium adolescentis ATCC 15703	1753
GCF_000021485.1	ASM2148v1	Acidithiobacillus ferrooxidans ATCC 23270	3104
GCF_000697965.2	ASM69796v2	Ensifer adhaerens	6941
GCF_002982115.1	ASM298211v1	Lysinibacillus sphaericus	4636
GCF_900476085.1	50569_G01	Mycoplasmoides gallisepticum	798
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	4687
GCF_018389705.1	ASM1838970v1	Mycoplasma mycoides subsp. capri	868
GCF_005519465.1	ASM551946v1	Streptomyces clavuligerus	7008
GCF_020099335.1	ASM2009933v1	Citrobacter amalonaticus	4879
GCF_000590865.3	ASM59086v3	Candidatus Liberibacter asiaticus	1118
GCF_900637055.1	46837_E02	Brevibacillus brevis	6535
GCF_000012285.1	ASM1228v1	Sulfolobus acidocaldarius DSM 639	2373
GCF_001042655.1	ASM104265v1	Gardnerella vaginalis ATCC 14018 = JCM 11026	1330
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae	4354
GCF_000960995.1	ASM96099v1	Burkholderia glumae LMG 2196 = ATCC 33617	6070
GCF_019916025.1	ASM1991602v1	Paraclostridium bifermentans	3532
GCF_028596125.1	ASM2859612v1	Listeria innocua	2891
GCF_019046945.1	ASM1904694v1	Streptococcus gordonii	2127
GCF_002945325.1	ASM294532v1	Methanococcus maripaludis	1874
GCF_001025215.1	ASM102521v1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	1899
GCF_000014025.1	ASM1402v1	Aliarcobacter butzleri RM4018	2342
GCF_001006005.1	ASM100600v1	Serratia fonticola	5425
GCF_000973705.1	ASM97370v1	Clostridium sporogenes	3871
GCF_016406325.1	ASM1640632v1	Shewanella putrefaciens	3907
GCF_003049785.1	ASM304978v1	Dickeya dadantii	4467
GCF_000009765.2	ASM976v2	Streptomyces avermitilis MA-4680 = NBRC 14893	8040
GCF_028885435.1	ASM2888543v1	Mesomycoplasma ovipneumoniae ATCC 29419	805
GCF_000012765.1	ASM1276v1	Mycoplasma capricolum subsp. capricolum ATCC 27343	879
GCF_004792415.1	ASM479241v1	Pantoea vagans	4433
GCF_900475375.1	42685_B01	Elizabethkingia meningoseptica	3491
GCF_001314995.1	ASM131499v1	Bacteroides ovatus	4916
GCF_000062885.1	ASM6288v1	Saccharopolyspora erythraea NRRL 2338	7334
GCF_000157895.3	ASM15789v2	Mycobacterium kansasii ATCC 12478	5794
GCF_021278985.1	ASM2127898v1	Citrobacter rodentium NBRC 105723 = DSM 16636	5161
GCF_000422085.1	ASM42208v1	Serratia liquefaciens ATCC 27592	4980
GCF_001632805.1	ASM163280v1	Mycobacteroides chelonae CCUG 47445	4918
GCF_003367075.2	ASM336707v2	Cylindrospermopsis raciborskii Cr2010	3415
GCF_000018525.1	ASM1852v1	Brucella canis ATCC 23365	3221
GCF_900475975.1	46931_F01	Streptococcus intermedius	1923
GCF_000007345.1	ASM734v1	Methanosarcina acetivorans C2A	4933
GCF_003343245.1	ASM334324v1	Photorhabdus laumondii subsp. laumondii	4960
GCF_009831375.1	ASM983137v1	Mediterraneibacter gnavus ATCC 29149	3563
GCF_000016525.1	ASM1652v1	Methanobrevibacter smithii ATCC 35061	1815
GCF_023278185.1	ASM2327818v1	Bradyrhizobium elkanii USDA 76	9021
GCF_002243645.1	ASM224364v1	Peribacillus simplex NBRC 15720 = DSM 1321	5462
GCF_000969765.1	ASM96976v1	Mycoplasmopsis synoviae ATCC 25204	770
GCF_002355775.1	ASM235577v1	Mycobacterium ulcerans subsp. shinshuense	5303
GCF_900324475.1	EB-247	Enterobacter bugandensis	4498
GCF_001028665.1	ASM102866v1	Burkholderia pyrrocinia	7223
GCF_900475595.1	44343_G01	Streptococcus uberis	1993
GCF_003584685.1	ASM358468v1	Lactobacillus paragasseri	1882
GCF_001700985.1	ASM170098v1	Parageobacillus thermoglucosidasius	4023
GCF_018314255.1	ASM1831425v1	Lentilactobacillus buchneri	2462
GCF_000196795.1	ASM19679v1	Acinetobacter oleivorans DR1	3963
GCF_008639165.1	ASM863916v1	Streptomyces venezuelae ATCC 10712	7437
GCF_000196175.1	ASM19617v1	Bdellovibrio bacteriovorus HD100	3601
GCF_000009965.1	ASM996v1	Thermococcus kodakarensis KOD1	2359
GCF_008245085.1	ASM824508v1	Pyrococcus furiosus DSM 3638	2123
GCF_000970205.1	ASM97020v1	Methanosarcina mazei S-6	3588
GCF_000007205.1	ASM720v1	Chlamydia pneumoniae TW-183	1092
GCF_001040945.1	ASM104094v1	Herbaspirillum seropedicae	4883
GCF_033956065.1	ASM3395606v1	Burkholderia mallei	5295
GCF_019930925.1	ASM1993092v1	Bartonella henselae	1645
GCF_000020025.1	ASM2002v1	Nostoc punctiforme PCC 73102	7702
GCF_000196875.2	ASM19687v2	Halomonas elongata DSM 2581	3808
GCF_000019725.1	ASM1972v1	Methylobacterium radiotolerans JCM 2831	6607
GCF_000164675.2	ASM16467v2	Streptococcus parasanguinis ATCC 15912	2050
GCF_000008205.1	ASM820v1	Mesomycoplasma hyopneumoniae J	723
GCF_002812485.1	ASM281248v1	Dickeya fangzhongdai	4451
GCF_001610955.1	ASM161095v1	Geobacillus thermoleovorans	3624
GCF_900186885.1	48903_D01	Veillonella parvula	1910
GCF_016725005.1	ASM1672500v1	Streptococcus constellatus	1898
GCF_000007085.1	ASM708v1	Caldanaerobacter subterraneus subsp. tengcongensis MB4	2728
GCF_001484725.1	ASM148472v1	Clostridium autoethanogenum DSM 10061	4044
GCF_000763515.1	ASM76351v1	Listeria ivanovii subsp. ivanovii	2907
GCF_000187935.1	ASM18793v2	Streptococcus parauberis NCFD 2020	2202
GCF_001953955.1	ASM195395v1	Prevotella intermedia ATCC 25611 = DSM 20706	2236
GCF_016026735.1	ASM1602673v1	Serratia rubidaea	4711
GCF_000961515.1	ASM96151v1	Paraburkholderia fungorum	8199
GCF_001298465.1	ASM129846v1	Campylobacter concisus	1907
GCF_001742145.1	ASM174214v1	Pectobacterium parmentieri	4661
GCF_016028795.1	ASM1602879v1	Macrococcoides caseolyticum	2319
GCF_000821185.2	ASM82118v2	Serratia symbiotica	3505
GCF_016127215.1	ASM1612721v1	Haemophilus parainfluenzae	2049
GCF_900476065.1	50465_F02	Mesomycoplasma hyorhinis	750
GCF_000055785.1	ASM5578v1	Chromohalobacter israelensis DSM 3043	3419
GCF_022179545.1	ASM2217954v1	Mycolicibacterium fortuitum subsp. fortuitum	6182
GCF_001644705.1	ASM164470v1	Dickeya solani IPO 2222	4279
GCF_009662475.1	ASM966247v1	Acidithiobacillus thiooxidans ATCC 19377	3596
GCF_002706665.1	ASM270666v1	Bifidobacterium pseudolongum subsp. globosum DSM 20092	1662
GCF_000018785.1	ASM1878v1	Acholeplasma laidlawii PG-8A	1436
GCF_000007025.1	ASM702v1	Rickettsia conorii str. Malish 7	1505
GCF_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063	5789
GCF_000010265.1	ASM1026v1	Clostridium kluyveri NBRC 12016	3920
GCF_000959445.1	ASM95944v1	Burkholderia vietnamiensis LMG 10929	6287
GCF_000019345.1	ASM1934v1	Ureaplasma parvum serovar 3 str. ATCC 27815	647
GCF_021654455.1	ASM2165445v1	Streptococcus parasuis	2202
GCF_016127195.1	ASM1612719v1	Aeromonas jandaei	4261
GCF_900636575.1	42912_C01	Streptococcus canis	2067
GCF_008801925.2	ASM880192v2	Cupriavidus basilensis	8191
GCF_000230655.2	ASM23065v3	Thermotoga maritima MSB8	1917
GCF_000092045.1	ASM9204v1	Rhizobium etli CFN 42	6363
GCF_000223905.1	ASM22390v1	Haloarcula hispanica ATCC 33960	3937
GCF_000179635.2	ASM17963v2	Ruminococcus albus 7 = DSM 20455	4130
GCF_002706745.1	ASM270674v1	Companilactobacillus farciminis KCTC 3681 = DSM 20184	2546
GCF_000021925.1	ASM2192v1	Desulfitobacterium hafniense DCB-2	5015
GCF_000970025.1	ASM97002v1	Methanosarcina barkeri MS	3849
GCF_004295125.1	ASM429512v1	[Clostridium] scindens ATCC 35704	3771
GCF_000959545.1	ASM95954v1	Burkholderia ambifaria AMMD	6772
GCF_001042595.1	ASM104259v1	Bifidobacterium dentium JCM 1195 = DSM 20436	2194
GCF_003010495.1	ASM301049v1	Megasphaera elsdenii DSM 20460	2339
GCF_000300455.3	ASM30045v4	Kosakonia sacchari SP1	4689
GCF_000252995.1	ASM25299v1	Salmonella bongori NCTC 12419	4226
GCF_001277215.2	ASM127721v2	Cronobacter malonaticus LMG 23826	4292
GCF_000145615.1	ASM14561v1	Thermoanaerobacterium thermosaccharolyticum DSM 571	2822
GCF_000023145.1	ASM2314v1	Corynebacterium kroppenstedtii DSM 44385	2114
GCF_000265465.1	ASM26546v1	Ornithobacterium rhinotracheale DSM 15997	2326
GCF_040267515.1	UMSP_Dlac_medaka1	Delftia lacustris	6661
GCF_900637265.1	50432_C01	Achromobacter insolitus	5955
GCF_000807675.2	ASM80767v2	Eubacterium limosum	4208
GCF_016028515.1	ASM1602851v1	Stutzerimonas frequens	4172
GCF_000284295.1	ASM28429v1	Actinoplanes missouriensis 431	8187
GCF_013267395.1	ASM1326739v1	Achromobacter denitrificans	6284
GCF_014779555.2	ASM1477955v2	Lysobacter capsici	5163
GCF_019047465.1	ASM1904746v1	Lelliottia amnigena	4296
GCF_016027095.1	ASM1602709v1	Sphingomonas paucimobilis	4094
GCF_015074805.1	ASM1507480v1	Sphingobium fuliginis	4714
GCF_900474605.1	41594_C01	Enterococcus cecorum	2458
GCF_016028855.1	ASM1602885v1	Rothia kristinae	2117
GCF_001698225.1	ASM169822v1	Gordonia terrae	5099
GCF_900637615.1	52191_A01	Bordetella hinzii	4827
GCF_010508875.1	ASM1050887v1	Flavonifractor plautii	3967
GCF_025149285.1	ASM2514928v1	Hungatella hathewayi	6335
GCF_000018145.1	ASM1814v1	Dinoroseobacter shibae DFL 12 = DSM 16493	4329
GCF_000008185.1	ASM818v1	Treponema denticola ATCC 35405	2629
GCF_000220945.1	ASM22094v1	Amycolatopsis mediterranei S699	9651
GCF_000016645.1	ASM1664v1	Flavobacterium johnsoniae UW101	5249
GCF_001856645.1	ASM185664v1	Clostridium pasteurianum DSM 525 = ATCC 6013	4112
GCF_000013085.1	ASM1308v1	Rhodospirillum rubrum ATCC 11170	3973
GCF_000330885.1	ASM33088v1	Rhizobium tropici CIAT 899	6377
GCF_000016605.1	ASM1660v1	Metallosphaera sedula DSM 5348	2410
GCF_000027325.1	ASM2732v1	Mycoplasmoides genitalium G37	566
GCF_000026105.1	ASM2610v1	Pseudomonas entomophila L48	5216
GCF_000818015.1	ASM81801v1	Stutzerimonas balearica DSM 6083	4155
GCF_003660105.1	ASM366010v1	Aliarcobacter cryaerophilus ATCC 43158	2158
GCF_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970	8497
GCF_900537995.1	Roseburia intestinalis strain L1-82	Roseburia intestinalis L1-82	4208
GCF_000313175.2	ASM31317v2	Leptospira santarosai serovar Shermani str. LT 821	3655
GCF_008245025.1	ASM824502v1	Campylobacter lari subsp. concheus	1530
GCF_025231465.1	ASM2523146v1	Streptomyces murinus	7321
GCF_001411805.1	ASM141180v1	Burkholderia plantarii	7074
GCF_001687625.2	ASM168762v2	Planococcus maritimus	3269
GCF_000816085.1	ASM81608v1	Staphylococcus hyicus	2399
GCF_040529065.1	ASM4052906v1	Xanthomonas sacchari	4219
GCF_900183975.1	PD885.1	Xanthomonas fragariae	4093
GCF_019668505.1	ASM1966850v1	Borrelia miyamotoi	861
GCF_000011965.2	ASM1196v2	Ruegeria pomeroyi DSS-3	4472
GCF_000146505.1	ASM14650v1	Fibrobacter succinogenes subsp. succinogenes S85	3180
GCF_008153345.1	ASM815334v1	Treponema phagedenis	2917
GCF_006364355.1	ASM636435v1	Vibrio furnissii	4649
GCF_002288285.1	ASM228828v1	Sphingobium xenophagum	4543
GCF_900637905.1	52756_G01	Parvimonas micra	1604
GCF_019930785.1	ASM1993078v1	Burkholderia dolosa	5649
GCF_005406325.1	ASM540632v1	Haloferax mediterranei ATCC 33500	3943
GCF_000012345.1	ASM1234v1	Candidatus Pelagibacter ubique HTCC1062	1382
GCF_020735985.1	ASM2073598v1	Bordetella holmesii	3583
GCF_001025195.1	ASM102519v1	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	1783
GCF_900475905.1	49595_E01	Kingella kingae	2133
GCF_000006685.1	ASM668v1	Chlamydia muridarum str. Nigg	942
GCF_002706425.1	ASM270642v1	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	2855
GCF_000022325.1	ASM2232v1	Caldicellulosiruptor bescii DSM 6725	2844
GCF_000026005.1	ASM2600v1	Ehrlichia ruminantium str. Welgevonden	997
GCF_000019945.1	ASM1994v1	Methylorubrum populi BJ001	5544
GCF_000204645.1	ASM20464v1	Alicycliphilus denitrificans K601	4896
GCF_000355695.1	ASM35569v1	Clavibacter nebraskensis NCPPB 2581	2952
GCF_000027145.1	ASM2714v1	Listeria seeligeri serovar 1/2b str. SLCC3954	2791
GCF_900636915.1	45532_F02	Aggregatibacter aphrophilus ATCC 33389	2241
GCF_000204135.1	ASM20413v1	Chlamydia pecorum E58	983
GCF_000063605.1	ASM6360v1	Mycoplasmopsis agalactiae PG2	793
GCF_001685355.1	ASM168535v1	Streptomyces lincolnensis	9289
GCF_001682385.1	ASM168238v1	Azoarcus olearius	4120
GCF_021919345.1	ASM2191934v1	Paenarthrobacter nicotinovorans	4189
GCF_020883495.1	ASM2088349v1	Shinella zoogloeoides	4730
GCF_024347355.1	ASM2434735v1	Vibrio chagasii	5113
GCF_003606265.1	ASM360626v1	Clostridium septicum	3242
GCF_002310835.1	ASM231083v1	Pseudoalteromonas tetraodonis	3780
GCF_009362255.1	ASM936225v1	Tenacibaculum mesophilum	3081
GCF_000953635.1	LMI	Legionella micdadei	2949
GCF_001941345.1	ASM194134v1	Corynebacterium stationis	2666
GCF_001553955.1	ASM155395v1	Moraxella osloensis	2375
GCF_008824185.1	ASM882418v1	Paracoccus pantotrophus	4384
GCF_031348265.1	ASM3134826v1	Streptomyces collinus	8012
GCF_900638215.1	56553_A01	Nocardiopsis dassonvillei	5598
GCF_037113525.1	AgR_BfibD1_NP	Butyrivibrio fibrisolvens	4215
GCF_003015125.1	ASM301512v1	Caulobacter segnis	4420
GCF_016027855.1	ASM1602785v1	Atlantibacter hermannii	4273
GCF_034424645.1	ASM3442464v1	Bordetella avium	3459
GCF_040790665.1	ASM4079066v1	Sulfitobacter pontiacus	3495
GCF_001267435.1	ASM126743v1	Moorella thermoacetica	2658
GCF_016028275.1	ASM1602827v1	Staphylococcus carnosus	2538
GCF_016889425.1	ASM1688942v1	Corynebacterium amycolatum	2169
GCF_002302565.1	ASM230256v1	Capnocytophaga canimorsus	2135
GCF_020099395.1	ASM2009939v1	Streptomyces mobaraensis	6747
GCF_019930665.1	ASM1993066v1	Bacteroides nordii	4359
GCF_000067205.1	ASM6720v1	Bordetella petrii	5121
GCF_016726365.1	ASM1672636v1	Rothia aeria	2276
GCF_028609885.1	ASM2860988v1	Corynebacterium jeikeium	2262
GCF_900187105.1	50618_F01	Eikenella corrodens	2225
GCF_010727605.1	ASM1072760v1	Mycobacterium simiae	5451
GCF_000013325.1	ASM1332v1	Novosphingobium aromaticivorans DSM 12444	4091
GCF_024347315.1	ASM2434731v1	Vibrio atlanticus	4577
GCF_000017245.1	ASM1724v1	Actinobacillus succinogenes 130Z	2218
GCF_003172995.1	ASM317299v1	Streptococcus sobrinus	2139
GCF_000196115.1	ASM19611v1	Rhodopirellula baltica SH 1	5291
GCF_000220705.2	ASM22070v2	Streptomyces xinghaiensis S187	6157
GCF_000145235.1	ASM14523v1	Micromonospora aurantiaca ATCC 27029	6377
GCF_000340885.1	ASM34088v1	Clostridium saccharoperbutylacetonicum N1-4(HMT)	5997
GCF_003584745.1	ASM358474v1	Mycobacterium pseudoshottsii JCM 15466	5375
GCF_001633165.1	ASM163316v1	Rhodovulum sulfidophilum DSM 1374	4157
GCF_000012805.1	ASM1280v1	Nitrosococcus oceani ATCC 19707	3341
GCF_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109	5144
GCF_000304355.2	Mb_MS2	Methanoculleus bourgensis MS2	2699
GCF_900475445.1	42727_F01	Streptococcus cristatus ATCC 51100	1965
GCF_000283595.1	ASM28359v1	Rickettsia japonica YH	1496
GCF_010669205.1	ASM1066920v1	Blautia producta ATCC 27340 = DSM 2950	5818
GCF_000176855.2	ASM17685v2	Paracidovorax avenae ATCC 19860	4874
GCF_001277235.1	ASM127723v1	Cronobacter dublinensis subsp. dublinensis LMG 23823	4392
GCF_000513295.1	MGMSRv2	Magnetospirillum gryphiswaldense MSR-1 v2	4172
GCF_000264765.2	ASM26476v2	Edwardsiella anguillarum ET080813	4040
GCF_000025925.1	ASM2592v1	Xylanibacter ruminicola 23	3061
GCF_900119795.1	MARIT_PRJEB17743	Tenacibaculum maritimum NCIMB 2154	3085
GCF_000478885.1	ASM47888v1	Adlercreutzia equolifaciens DSM 19450	2337
GCF_000470775.1	ASM47077v1	Leifsonia xyli subsp. cynodontis DSM 46306	2778
GCF_000196435.1	ASM19643v1	Bartonella tribocorum CIP 105476	2332
GCF_010509075.1	ASM1050907v1	Collinsella aerofaciens ATCC 25986	2197
GCF_002278135.3	ASM227813v3	Bradyrhizobium ottawaense	8018
GCF_002812705.1	ASM281270v1	Achromobacter spanius	5839
GCF_019645875.1	ASM1964587v1	Mycolicibacterium senegalense	5816
GCF_001465595.2	ASM146559v2	Pandoraea apista	5054
GCF_000013345.1	ASM1334v1	Frankia casuarinae	4755
GCF_032878895.1	ASM3287889v1	Butyricimonas faecihominis	4005
GCF_012427845.1	ASM1242784v1	Pectobacterium punjabense	4343
GCF_020097295.1	ASM2009729v1	Aeromonas enteropelogenes	4045
GCF_034424545.1	ASM3442454v1	Trinickia caryophylli	5850
GCF_001720485.1	ASM172048v1	Cobetia marina	3494
GCF_001975665.1	ASM197566v1	Polaribacter reichenbachii	3528
GCF_001007935.1	ASM100793v1	Nitrosomonas communis	3931
GCF_016028635.1	ASM1602863v1	Stutzerimonas degradans	3839
GCF_001482365.1	ASM148236v1	Kocuria flava	3305
GCF_001618685.1	ASM161868v1	Geobacillus subterraneus	3492
GCF_003628755.1	ASM362875v1	Christensenella minuta	2894
GCF_029909795.1	ASM2990979v1	Paracoccus versutus	4977
GCF_001886855.1	ASM188685v1	Spiroplasma citri	2138
GCF_004117095.1	ASM411709v1	Paenibacillus chitinolyticus	5992
GCF_002849715.1	ASM284971v1	Arthrobacter crystallopoietes	4668
GCF_001719165.1	ASM171916v1	Erythrobacter litoralis	3151
GCF_013046825.1	ASM1304682v1	Turicibacter sanguinis	2917
GCF_008151785.1	ASM815178v1	Peptacetobacter hiranonis	2360
GCF_031191545.1	ASM3119154v1	Schaalia odontolytica	2108
GCF_016728365.1	ASM1672836v1	Corynebacterium tuberculostearicum	2333
GCF_005221305.1	ASM522130v1	Neisseria subflava	2105
GCF_001543205.1	ASM154320v1	Aerococcus urinaeequi	1865
GCF_019931005.1	ASM1993100v1	Granulicatella adiacens	1949
GCF_010727475.1	ASM1072747v1	Mycolicibacterium mageritense	7829
GCF_018343775.1	ASM1834377v1	Pseudomonas cichorii	5205
GCF_008705175.1	ASM870517v1	Clostridium diolis	5284
GCF_001038625.1	ASM103862v1	Clostridium carboxidivorans P7	5287
